,Date.Time,Time.x,timeNum,Lat,Lon,Base,Day,Dayofweek.x,Month.x,Year.x,Time.y,newTemp,Dayofweek.y,Month.y,Year.y
84,5/1/2014 5:38,5:38:00,6,40.7372,-74.0372,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
85,5/1/2014 5:38,5:38:00,6,40.7912,-73.9651,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
86,5/1/2014 5:39,5:39:00,6,40.7323,-73.9941,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
87,5/1/2014 5:40,5:40:00,6,40.7828,-73.9797,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
88,5/1/2014 5:40,5:40:00,6,40.7828,-73.9797,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
89,5/1/2014 5:41,5:41:00,6,40.7179,-73.9895,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
90,5/1/2014 5:46,5:46:00,6,40.729,-74.0066,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
91,5/1/2014 5:49,5:49:00,6,40.8109,-74.1575,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
92,5/1/2014 5:49,5:49:00,6,40.7149,-74.0065,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
93,5/1/2014 5:56,5:56:00,6,40.7186,-74.0079,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
94,5/1/2014 6:03,6:03:00,7,40.7745,-73.9838,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
95,5/1/2014 6:03,6:03:00,7,40.7753,-73.9901,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
96,5/1/2014 6:07,6:07:00,7,40.7204,-74.0085,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
97,5/1/2014 6:07,6:07:00,7,40.7175,-74.0022,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
98,5/1/2014 6:07,6:07:00,7,40.7321,-73.9885,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
99,5/1/2014 6:08,6:08:00,7,40.7273,-73.9922,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
100,5/1/2014 6:10,6:10:00,7,40.7667,-73.9849,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
101,5/1/2014 6:10,6:10:00,7,40.76,-74.0361,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
102,5/1/2014 6:11,6:11:00,7,40.721,-74.0007,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
103,5/1/2014 6:12,6:12:00,7,40.7463,-74.0302,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
104,5/1/2014 6:12,6:12:00,7,40.7463,-74.0302,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
105,5/1/2014 6:13,6:13:00,7,40.6934,-73.8286,B02512,1,Thu,May,2014,6:00:00,55.2416,Thu,May,2014
